nodo,latitud,longitud


entrada_27,7.138782895734074, -73.12030262492222

1,7.139359540613165, -73.12022559269512

2,7.1393051522668936, -73.11921505181884

entrada_30,7.139267939758812, -73.117372422757

jardin_botanico,7.140316535599101, -73.11615201766051

3,7.140542755195885, -73.11604741151388

4,7.141538952340641, -73.11715392992916

5,7.141649184409242, -73.11732826309564

6,7.14171618988263, -73.11811721996105

7,7.142076994640137, -73.1185350709091

8,7.142058004923151, -73.11867860749432

9,7.141504137826481, -73.11921447745253

bienestar,7.141459828429506, -73.11990664282064

11,7.141649725812242, -73.12038509810468

escuela_industrial,7.141646392175976, -73.12072907374994

13,7.1421093378521645, -73.12042561645504

14,7.142455605860759, -73.12070252132399

15,7.1425760468442485, -73.12104770399696

16,7.142628739764537, -73.12189359120657

17,7.1423012908043, -73.12234877714894

18,7.1418044712444, -73.12290258671219

19,7.141112196255857, -73.12325442559549

20,7.140856701491769, -73.12328124768437

entrada_25,7.139994405609234, -73.12307203539112

21,7.1396963276420875, -73.12297547587114

22,7.139653745059505, -73.12115693824506

23,7.140468136264448, -73.12117839591617

centic,7.140452167823387, -73.1215539051605

biblioteca,7.14048942751833, -73.12092090386292

26,7.14040958531117, -73.12025035164092

auditorio,7.139797461259854, -73.12024498722315

estadio_atletismo,7.140711095418359, -73.11921697027725

